Time,PM1.0,PM2.5,PM10,Temperature,Gas,Relative Humidity,Pressure,Altitude
1708125213.512508,1,1,1,23.2739453125,79209,45.439876671043166,1007.576782909569,47.340841205993044
1708125214.5255127,1,1,1,23.2755078125,81340,45.44005999588087,1007.5777294912388,47.33292435895845
1708125215.5383646,2,3,3,23.2778515625,82288,45.42862622583606,1007.5732290070936,47.37056474074547
1708125216.5513685,2,3,3,23.28078125,83505,45.41726187418858,1007.5697177408059,47.39993176545524
1708125217.5643425,2,3,3,23.2829296875,84674,45.417513862350205,1007.5682704612872,47.412036338163105
1708125218.577039,2,3,3,23.285859375,86402,45.40615013849433,1007.5698337217268,47.39896173956522
1708125219.5898826,2,3,3,23.2876171875,88018,45.40050288184528,1007.5795677388298,47.31754997640335
1708125220.602812,2,3,3,23.2891796875,89507,45.37142202304346,1007.5788226952689,47.32378122607581
1708125221.6158183,2,3,3,23.2891796875,90851,45.37142202304346,1007.5737480257421,47.36622385414176
1708125222.6287942,1,2,2,23.2911328125,92036,45.3657986980055,1007.5702793440266,47.39523470352325
1708125223.6417382,1,2,2,23.2923046875,93252,45.34838047594516,1007.570566306949,47.39283464222055
1708125224.654651,1,2,2,23.2938671875,94818,45.33100972416373,1007.576587478021,47.342475721461604
1708125225.667561,1,2,2,23.29484375,94782,45.331124104800594,1007.5782362555015,47.32868597896708
1708125226.680567,1,2,2,23.2958203125,95530,45.319536897513025,1007.5714271652262,47.38563471663837
1708125227.6934721,1,2,2,23.296796875,97007,45.30210033902061,1007.5730759311122,47.37184501393022
1708125228.7063746,1,2,2,23.298359375,97961,45.29643333657687,1007.5723307977754,47.37807704695704
1708125229.7190778,1,2,2,23.299921875,100163,45.2907664999469,1007.5682024819992,47.412604895048545
1708125230.732096,1,2,2,23.301484375,101422,45.290949390856134,1007.5691488997495,47.404689364389455
1708125231.745128,1,2,2,23.303046875,102527,45.28528270441703,1007.5667121271422,47.425069751189326
1708125232.7581568,1,2,2,23.3040234375,103530,45.26784942733113,1007.5649776836202,47.4395761064425
1708125233.7711363,1,2,2,23.3051953125,105202,45.2738355510876,1007.5669561728089,47.423028629481415
1708125234.784191,1,2,2,23.3065625,106125,45.268146518353376,1007.5709560128952,47.38957527373003
1708125235.7965245,1,2,2,23.3083203125,108089,45.26250335838829,1007.5756153616628,47.35060613841264
1708125236.8098264,1,2,3,23.3091015625,108713,45.23920135620409,1007.5769343613341,47.33957452095449
1708125237.822791,1,2,3,23.3096875,109984,45.25096620197496,1007.5762320016245,47.34544879210527
1708125238.8357744,1,2,3,23.3102734375,111725,45.25103474386305,1007.5755296391399,47.351323089773736
1708125239.8488073,0,2,3,23.3102734375,113067,45.256883210035575,1007.5738380279694,47.36547110784317
1708125240.8618312,0,2,3,23.3106640625,113827,45.25108043868846,1007.5761891374372,47.34580729207155
1708125241.8747659,0,2,3,23.31125,115065,45.23945262578499,1007.5754867713142,47.351681620377086
1708125242.888755,1,2,3,23.310859375,116169,45.24525501305878,1007.5714440486865,47.38549350917294
1708125243.9030058,1,2,3,23.3106640625,117867,45.21599381457957,1007.5711143010718,47.38825140534421
1708125244.9169009,1,2,3,23.3098828125,119110,45.21005541972366,1007.5697953109301,47.399282994694985
1708125245.9311998,0,2,2,23.3087109375,120295,45.20407158742093,1007.5593587944811,47.48657091588733
1708125246.94526,0,2,2,23.3075390625,122647,45.18639531842212,1007.5658383435464,47.43237780747006
1708125247.959286,0,2,2,23.3071484375,122914,45.16881219104137,1007.5651788494257,47.43789361612285
1708125248.9722855,1,2,3,23.3055859375,124358,45.16278427047748,1007.5676156694585,47.41751280755502
1708125249.985358,1,2,3,23.30421875,125000,45.15093440549646,1007.565307431739,47.43681819245497
1708125250.9982872,1,2,3,23.3034375,126023,45.15668816445327,1007.5639884394534,47.44784985121534
1708125252.01119,1,2,3,23.3005078125,127830,45.127123296943644,1007.5573506380854,47.50336662301825
1708125253.024246,1,2,3,23.2993359375,128704,45.115298850911884,1007.5604469018821,47.47747027485761
1708125254.0373669,2,3,4,23.2977734375,130489,45.120960238819464,1007.5645752273102,47.44294213084393
1708125255.0503438,2,3,4,23.2958203125,131912,45.10904512326318,1007.5663524453361,47.428078018168776
1708125256.0633943,2,3,4,23.2942578125,132635,45.12054996896369,1007.5620228653447,47.464289349526354
1708125257.0766802,1,2,3,23.29328125,133471,45.126279870602815,1007.5671403776302,47.42148799817568
1708125258.089715,1,2,3,23.2926953125,134531,45.12036763164929,1007.5695342499552,47.401466422161995
1708125259.1020224,1,2,3,23.292109375,135717,45.12029925592487,1007.5600871722422,47.48047895704942
1708125260.115712,1,2,3,23.2911328125,137703,45.120185297315686,1007.5584384180665,47.494268705755026
1708125261.1298892,0,2,2,23.2899609375,137928,45.120048548521666,1007.5480021287553,47.58155552386006
1708125262.1428242,0,2,2,23.288203125,139174,45.13737543553017,1007.5568752656658,47.50734252047194
1708125263.1557963,0,2,2,23.2876171875,139979,45.137307042077296,1007.567726872788,47.41658273827895
1708125264.1687324,0,2,2,23.2864453125,140794,45.16054898269467,1007.5640567950641,47.44727814495165
1708125265.181675,0,2,2,23.28546875,142093,45.148745209446346,1007.5607164784212,47.47521560957868
1708125266.1945648,0,2,2,23.28546875,143538,45.16043494940129,1007.5556418411097,47.517658585770405
1708125267.2075615,0,2,2,23.285078125,144149,45.166234501801775,1007.5532907927729,47.53732221495362
1708125268.22056,0,2,2,23.2848828125,145013,45.17790261931437,1007.5529610414338,47.54008018250805
1708125269.233478,0,2,2,23.285078125,146518,45.18377119824621,1007.5532907927729,47.53732221495362
1708125270.246399,0,1,1,23.285859375,146518,45.183862461640224,1007.556301345064,47.51214265259575
1708125271.2594187,1,2,2,23.2864453125,148055,45.18393090967533,1007.560673697942,47.47557341390369
1708125272.2724042,1,2,2,23.2860546875,150022,45.195577432057945,1007.5617057391441,47.46694170458255
1708125273.2853706,1,2,2,23.2860546875,149625,45.195577432057945,1007.5633972867025,47.45279408060681
1708125274.2982795,1,2,2,23.2860546875,151634,45.195577432057945,1007.5617057391441,47.46694170458255
1708125275.3111734,1,2,2,23.2860546875,152042,45.201423809351446,1007.5549395499429,47.52353238416033
1708125276.3241422,1,3,3,23.285859375,153558,45.20140098640694,1007.5529182519304,47.54043806454049
1708125277.3371143,1,3,3,23.2860546875,154539,45.201423809351446,1007.548173362393,47.580123357637504
1708125278.3501368,1,3,3,23.2864453125,155676,45.21316281940735,1007.5505244090526,47.56045966161871
1708125279.3630574,1,3,3,23.286640625,157120,45.21318564714462,1007.5508541590638,47.55770169976844
1708125280.3761132,1,3,3,23.2876171875,157120,45.224993978652606,1007.5541944606475,47.52976413966692
1708125281.3891454,1,3,3,23.288984375,158442,45.21930659595401,1007.5497364980589,47.5670495914576
1708125282.4021776,1,3,3,23.2891796875,159337,45.21348241197427,1007.5449915826379,47.60673520251578
1708125283.4151702,1,3,3,23.2895703125,160393,45.219375088104435,1007.540576410757,47.64366303439449
1708125284.428191,1,3,3,23.2899609375,161156,45.207726901904266,1007.5463105719957,47.5957033998276
1708125285.4420652,1,3,3,23.2907421875,162704,45.21366504040367,1007.557778916618,47.499784608494394
1708125286.4556735,1,3,3,23.2907421875,162548,45.2253593069703,1007.557778916618,47.499784608494394
1708125287.4686263,1,3,3,23.2911328125,163489,45.22540497384991,1007.546597497164,47.59330360805735
1708125288.4823482,0,3,3,23.292109375,165567,45.22551914186553,1007.5465546705376,47.59366180241571
1708125289.4952965,0,3,3,23.2930859375,166054,45.21393898864598,1007.5431287100763,47.622315971751995
1708125290.5082984,0,3,3,23.293671875,165891,45.21985454491484,1007.5491926451291,47.57159827093746
1708125291.5216312,0,3,3,23.29484375,167201,45.21999153635407,1007.5511711274039,47.55505064189343
1708125292.5352015,1,4,4,23.29640625,167864,45.20848019280112,1007.5453512373472,47.6037271105294
1708125293.5493147,1,4,4,23.2973828125,169714,45.21444124453748,1007.5486915376054,47.57578943796891
1708125294.5625305,1,3,3,23.29953125,170397,45.21469238095005,1007.552318739409,47.54545225724643
1708125295.5760975,0,2,2,23.3005078125,170397,45.232348584626735,1007.5505842998657,47.55995874701729
1708125296.5902832,0,2,2,23.301875,172832,45.226660886178394,1007.5461261635924,47.5972457596501
1708125297.603203,0,2,2,23.3024609375,174075,45.226729394546446,1007.5454238036099,47.603120178518346
1708125298.6174862,0,2,2,23.3034375,173540,45.22684357609298,1007.5487641086874,47.57518246727884
1708125299.6317072,1,3,3,23.303046875,176065,45.21510334361837,1007.5447214408528,47.60899462390918
1708125300.6459122,1,3,3,23.3036328125,175518,45.22686641254226,1007.5474022596484,47.58657271878784
1708125301.659029,1,3,3,23.3036328125,174974,45.22686641254226,1007.5474022596484,47.58657271878784
1708125302.6720107,1,3,3,23.3024609375,178289,45.191648157781145,1007.5454238036099,47.603120178518346
1708125303.6857598,1,3,3,23.30109375,178854,45.20318131614535,1007.5515735346992,47.55168499118066
